严重程度,缺陷 ID,文件路径,步骤数,缺陷名称,缺陷描述,结论状态,AI验证状态
高危,#b2f85692-1223-477f-a054-055d86159c0b,pyart/map/ckdtree.c,0,Double free of 'mids' buffer in cKDTree.__build error path,cKDTree.__build 的 Cython 生成错误处理代码（源文件 pyart/map/ckdtree.pyx:965-971）对同一堆缓冲区 `mids` 释放了两次。except 子句中的两个条件分支都释放了 `mids`，而第一个分支本应释放 `ni`（正确写法应为 `if ni != NULL: free(ni)` 后接 `if mids != NULL: free(mids)`）。由于第一次 `free()` 后未将 `mids` 置为 NULL，第二次 `free()` 构成典型的双重释放。同时该路径上分配的中间节点 `ni` 被泄漏。任何在建树过程中抛出的异常都会进入该处理分支。双重释放会破坏 glibc malloc 的空闲链表元数据，可能被利用实现任意内存破坏乃至代码执行，最轻也会导致进程崩溃（拒绝服务）。任何构建 cKDTree 的 Py-ART 网格化流程（如 pyart/map/gates_to_grid.py、grid_mapper.py）均可触发该代码，而这些流程处理的数据规模由可能来自攻击者提供的雷达文件决定。,已确认,已验证
低危,#23c53c29-9b52-467f-a316-af6e7de52e5a,pyart/aux_io/kazr_spectra.py,0,IndexError on malformed radar_operating_frequency attribute in KAZR spectra reader,"read_kazr_spectra 通过正则表达式在文件的 radar_operating_frequency 属性上提取频率，并直接取结果下标 [0]。若该属性不含数字（例如空字符串、仅含单位如 ""GHz""，或非数值内容），re.findall 将返回空列表，索引操作即抛出 IndexError 并中断读取。因此构造畸形的 KAZR 光谱文件会使消费该数据的服务发生未捕获异常。此外，若匹配到的片段无法转换为 float，该表达式还会抛出 ValueError。",仅初筛,未验证
中危,#57a9dd15-34e3-4cb6-9d93-eec2bf28f608,pyart/aux_io/gamicfile.py,0,Unbounded list allocation from attacker-controlled HDF5 'sets' attribute (DoS),GAMICFile.__init__ 直接读取文件属性 what/sets 作为扫描数，并立即据此生成等长的 scan 组名列表。该数值完全由被解析的文件控制，且从未与实际文件内容或大小做校验。攻击者构造 sets = 10^9 的 HDF5 文件即可造成无上限的列表/字符串分配，在任何组查找失败之前就耗尽内存。read_gamic() 会直接用调用方传入的文件名构造 GAMICFile，因此任何接收不可信雷达文件的应用（上传入口、网络数据流、邮件附件）都可能被强制耗尽内存。该属性还会驱动 how_attrs()/what_attrs() 对所有伪扫描进行循环，进一步放大开销。,已确认,已验证
高危,#94f00ef4-cd5a-4a11-a8b8-2212ba97f8c9,pyart/graph/max_cappi.py,0,Path traversal in plot_maxcappi output filename allows writing outside savedir,plot_maxcappi 通过字符串拼接 caller 传入的 `savedir`、`title` 参数以及从输入雷达/网格文件读取的 `instrument_name` 元数据来构造输出路径。`title` 与 `instrument_name` 均未做任何净化（没有 basename、没有去除路径分隔符、没有目录包含校验）。当雷达/网格文件的 `instrument_name` 属性包含相对路径穿越序列（例如 `../../../../home/user/.ssh/authorized_keys` 或 `../../../etc/cron.d/x`）时，`figname` 会逃逸出 `savedir`，随后 `plt.savefig()` 会在攻击者指定的任意路径写入文件。由于该元数据来自不可信的雷达二进制/NetCDF 体数据，任何将用户上传的雷达文件绘制到固定输出目录的应用，都可能被诱使写出该目录之外的文件。`title` 参数是注入同一 sink 的第二个同样未净化的来源。,已确认,已验证
低危,#e3e000b0-e8e6-4bc8-8d51-1f7b455e50dd,pyart/config.py,0,Arbitrary Python code execution when loading a Py-ART configuration file,load_config() 直接从文件路径加载并执行 Python 模块（使用 importlib 的 exec_module()，回退到已废弃的 imp.load_source()）。该路径来自 PYART_CONFIG 环境变量（config.py:92）或公开发布的 pyart.load_config API 的 filename 参数。攻击者只要能在可控路径放置文件，或影响该环境变量，就能以导入进程的完整权限执行任意 Python 代码。函数文档字符串已承认此风险（'不要加载不可信的配置文件'），属于有意为之但危险的设计：任何把用户提供的路径转发给 load_config() 的上层封装程序，或在 PYART_CONFIG 可被攻击者影响的环境中运行的程序，都会继承任意代码执行能力。由于利用需要控制配置路径或环境变量而非来自本代码库中的网络/文件解析器，置信度为中。,仅初筛,未验证
低危,#3fbfe42b-7f69-4ce6-9e8e-012f0e730ebd,pyart/aux_io/radx.py,0,Leaked file descriptor and temp file created in untrusted current working directory,"tempfile.mkstemp() 返回 (fd, path) 元组，这里仅通过下标 [1] 保留路径，返回的文件描述符从未被关闭。因此每次调用 read_radx() 都会永久泄漏一个文件描述符；在持续读取雷达文件的长时间运行服务中，会耗尽进程的 fd 上限（通常为 1024），导致后续文件/套接字操作失败，形成拒绝服务。另外，临时文件使用 dir='.' 创建，即落在进程的当前工作目录中——该目录可能是攻击者可写或共享的位置。该路径随后以文件名形式交给外部 RadxConvert 进程打开并覆盖写入，在 mkstemp 创建、外部写入与 finally 中 os.remove() 之间形成了 TOCTOU/符号链接替换窗口。",仅初筛,未验证
中危,#434d5a71-e9c1-4001-a0a9-ca2efc74663d,pyart/aux_io/rxm25.py,0,Unbounded memory allocation driven by untrusted NetCDF dimension sizes in read_rxm25,read_rxm25() 完全信任输入 NetCDF 文件中声明的维度大小，未做任何上限校验。netCDF 的维度长度是存储在文件头中的 64 位数值，并不要求与实际存储的数据量一致。攻击者提供一个声明了超大 'Gate' 与 'Radial' 维度的伪造 RXM-25 文件，即可使 make_empty_ppi_radar() 及随后的 radar.fields 赋值分配巨量数组（每字段 rays_per_sweep × ngates × 8 字节，共 13 个字段），耗尽进程内存并被 OOM 杀掉，形成拒绝服务。由于该读取器被注册为辅助文件格式处理器，任何接受用户上传雷达文件的服务都会受影响。此外，负值或超大的维度可能在 netCDF4/numpy 内部抛出难以处理的异常，而非被干净地拒绝。,已确认,已验证
低危,#7dc6bf21-da9b-410b-95ec-4956e01d0ff4,pyart/aux_io/sinarame_h5.py,0,ValueError from int() on non-numeric HDF5 dataset group name in SINARAME reader,"read_sinarame_h5 通过把组名中字面量 ""dataset"" 前缀之后的部分转换为整数来对 HDF5 组排序。组名直接来自文件，因此任何以 ""dataset"" 开头但后续不是数字的顶层组（如 ""dataset_meta""、""datasetXYZ""）都会使排序键抛出未捕获的 ValueError，导致整个读取失败。若文件中不存在匹配的组，失败则会推迟到后面访问 datasets[0] 时的 IndexError。这对任何消费不可信 SINARAME HDF5 文件的程序都构成由文件驱动的拒绝服务。",仅初筛,未验证
中危,#17bab936-a687-4962-8092-db137c133571,pyart/aux_io/rxm25.py,0,Untrusted per-variable shapes assigned to Radar fields without validation in read_rxm25,"从 NetCDF 文件读取的 13 个字段变量在存入 Radar 对象前，均未与 'Radial'/'Gate' 维度做 shape 校验。攻击者可构造文件：声明 Radial=1000、Gate=2000（使 radar.range、radar.azimuth、radar.time 按 1000/2000 构造），却将 Velocity 等字段以不同的 shape（或被静默转换的 dtype）存入。这样得到的 Radar 对象内部不一致；下游 Py-ART 代码（包括关闭了 boundscheck 的 Cython 网格化/插值内核，它们按 (ray, gate) 索引）可能发生越界读取或产生错误结果，按几何形状索引的调用方则会抛出 IndexError 或静默错处理数据。这属于二进制文件解析器信任边界处的输入校验缺失。",已确认,已验证
低危,#5f2e4b4b-ec73-45af-8e2f-09d5e46fd7f9,pyart/io/sigmet.py,0,Division by zero in read_sigmet() when the IRIS header declares zero range bins,"read_sigmet() 通过 Cython _sigmetfile.read_data() 返回的数组形状，直接从产品头（product_end.number_bins）取得 nbins。攻击者构造的 IRIS/Sigmet 文件若声明 number_bins == 0，会使第 305 行的门间隔计算发生除零，抛出未捕获的 ZeroDivisionError 并中止整个文件读取；同一个零值也会使第 319 行的 reshape 失败（ValueError）。这属于输入校验/健壮性缺陷（解析不可信雷达文件时的拒绝服务），而非内存破坏。可达性仅取决于 _sigmetfile.read_data() 是否容忍 number_bins == 0 并分配 (nsweeps, nrays, 0) 数组——当前代码正是如此（原始扫描缓冲区大小按 nbins+6 计算，_sigmetfile.pyx:281）。",仅初筛,未验证
低危,#89582b63-b83b-493b-8fad-0a2eaa93ac2c,pyart/io/nexrad_interpolate.pyx,0,NEXRAD interpolation indexes moment data with an unvalidated header gate count (out-of-bounds access / IndexError),NEXRAD 4:1 插值例程完全依据消息头的门数 moment_ngates 确定输出宽度，而最大输出宽度并非由同一量推导：max_ngates 来自 _find_range_params()，它 (a) 对每个矩都使用 scan_params['ngates'][0]（即该扫描第一个矩的门数）计算 last_gate，(b) 最终为 ceil((max_last_gate - min_first_gate)/min_gate_spacing)。当攻击者构造的文件在同一个扫描内混合门间隔、并让非首个矩（index != 0）声明比首个矩更大的 ngates 时，被插值的矩会扩展到 4*ngates 列，而 data/scratch_ray 只有 max_ngates 列。具体而言：某扫描第一个矩为 250 m/10 门、第二个矩为 1000 m/10 门（4 倍插值目标）时 max_ngates=38，而插值会写入 40 列。两个 memoryview 均以启用边界检查的方式编译（未使用 @cython.boundscheck(False)，setup.py 仅设置 language_level/cpow），因此 Cython 运行时抛出 IndexError 而非破坏内存——影响是未捕获异常导致整个文件读取中止（针对不可信文件输入的拒绝服务）。_fast_interpolate_scan_2（interp_ngates = 2*moment_ngates-1，pyx:85-110）存在同样问题。,仅初筛,未验证
中危,#c004f5c5-c800-4c7f-8a40-260cea2c182d,pyart/map/ckdtree.pyx,0,Double free of 'mids' and leak of 'ni' in cKDTree.__build() exception handler,"__build() 的异常处理存在复制粘贴错误：注释写的是 free ni if it cannot be returned，判断条件也检查 ni，但函数体释放的却是 mids；紧随其后的第二个判断又把 mids 释放一次。当 mids 已成功分配（第 949 行成功）之后、递归 __build() 调用的更深处因 malloc 失败抛出 MemoryError 时，同一堆块会被释放两次（双重释放 -> 堆破坏，在原生扩展中可能被利用），同时第 944 行分配的 ni 节点被泄漏。该路径可从公开构造函数 cKDTree(data, leafsize)（第 846-861 行）到达，而它由 pyart/map/grid_mapper.py:245（NNLocator.__init__）在 map_to_grid() 中对雷达文件派生的门坐标调用。触发需要与建树过程交织的分配失败，因此并非直接由攻击者输入控制，但它是原生扩展中潜在的堆破坏缺陷。",已确认,已验证
中危,#db0886f3-9c78-4f5e-a448-50ae9914fa21,pyart/aux_io/d3r_gcpex_nc.py,0,Unbounded array allocation from untrusted netCDF header (NumGates) enables memory-exhaustion DoS,read_d3r_gcpex_nc() 打开不可信的 netCDF 文件，并将文件声明的标量 NumGates 直接用作 np.arange() 的长度来构建距离向量，该值既未校验合理上限，也未与实际数据规模比对。攻击者通过构造声明 NumGates 为 1e9-1e10 量级的文件，可触发数 GB 的内存分配，导致 MemoryError 或被 OOM killer 终止；在自动识别雷达文件（pyart.io.read）的服务端场景中即形成拒绝服务。同一读取函数还在无任何大小检查的情况下完整物化多个文件变量（第 174/193/199 行的 ncvars['Elevation']、ncvars['Azimuth']、ncvars['Time'][:]，以及通过 _ncvar_to_dict -> ncvar[:]（第 248 行）读取的每个字段），因此还存在第二条由变量维度驱动的无界分配路径。,已确认,已验证
